,top1,top2,top5,top7,top10,acc,r_loss
0/epoch:1/set:val/distance:<function pearson_sim at 0x7f614049ee60>,"5,8887","10,7066","26,8737","37,5803","49,4647","0,4844","0,5543"
0/epoch:2/set:val/distance:<function pearson_sim at 0x7f614049ee60>,"5,2463","10,2784","28,4797","38,3298","50,3212","0,4834","0,5557"
0/epoch:3/set:val/distance:<function pearson_sim at 0x7f614049ee60>,"5,9957","10,7066","28,3726","37,6874","50,4283","0,4817","0,5568"
0/epoch:4/set:val/distance:<function pearson_sim at 0x7f614049ee60>,"6,8522","10,7066","28,2655","37,7944","50,7495","0,4814","0,5566"
0/epoch:5/set:val/distance:<function pearson_sim at 0x7f614049ee60>,"7,0664","10,7066","28,2655","38,2227","50,1071","0,4795","0,5587"
0/epoch:6/set:val/distance:<function pearson_sim at 0x7f614049ee60>,"7,2805","10,7066","28,2655","38,9722","50,2141","0,4810","0,5570"
0/epoch:7/set:val/distance:<function pearson_sim at 0x7f614049ee60>,"7,8158","10,7066","27,8373","38,8651","50,2141","0,4790","0,5591"
0/epoch:8/set:val/distance:<function pearson_sim at 0x7f614049ee60>,"7,4946","10,3854","27,1949","38,8651","50,1071","0,4784","0,5595"
0/epoch:9/set:val/distance:<function pearson_sim at 0x7f614049ee60>,"7,3876","10,5996","26,5525","38,3298","50,1071","0,4754","0,5624"
0/epoch:1/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"3,4060","7,1374","20,4554","29,1619","42,4608","0,4674","0,5602"
0/epoch:2/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"3,7122","7,7497","21,9097","29,9464","42,7287","0,4781","0,5493"
0/epoch:3/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"4,0758","8,0559","22,6560","30,6353","43,2070","0,4822","0,5446"
0/epoch:4/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"4,2863","8,2090","23,0004","31,8025","43,6854","0,4845","0,5424"
0/epoch:5/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"4,0758","8,2664","23,5170","32,0130","43,6663","0,4865","0,5398"
0/epoch:6/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"4,0758","8,2090","23,6701","32,2426","44,4317","0,4911","0,5348"
