,best,r_loss,epoch,historical
level: measure / type: <function pearson_sim at 0x7fa73beb45f0> best,<function pearson_sim at 0x7fa73beb45f0>,0.4498253582,2,"[(11.456628477905074, 21.640298236042916, 46.86306601200218, 58.574286233860704, 71.41298417894163, 0.5847483083873933, 0.4574287767533575), (11.456628477905074, 22.131296599381706, 46.4266230223677, 59.50172758683397, 71.12202218585197, 0.5915375278720586, 0.44982535821204156), (11.165666484815421, 20.931078377886887, 44.680851063829785, 57.774140752864156, 69.26713947990544, 0.5731518763685823, 0.4707323037789348), (10.729223495180943, 21.349336242953264, 44.22622294962721, 57.21040189125296, 69.5944717221313, 0.574934361541171, 0.46736270440946853), (9.910892889616294, 19.40352791416621, 43.17148572467721, 55.573740680123656, 69.03073286052009, 0.5678918873680744, 0.47496940334461185), (9.383524277141298, 18.45790143662484, 43.77159483542462, 56.13747954173486, 67.61229314420804, 0.5592194066546033, 0.485573207075794), (9.983633387888707, 20.27641389343517, 44.626295690125474, 57.33769776322968, 70.776504819058, 0.5788809126586761, 0.4645077932010056), (10.838334242589562, 20.840152755046372, 44.58992544098927, 57.646844880887436, 71.77668667030369, 0.5885674811951428, 0.454027210850942), (9.910892889616294, 20.38552464084379, 45.69921803964357, 57.91962174940898, 69.21258410620112, 0.580613625990044, 0.4620869160451146), (9.692671394799055, 19.43989816330242, 44.062556828514275, 57.19221676668485, 69.70358246953991, 0.5742267359706152, 0.4697417569654054)]"
level: measure / type: <function eu_distance at 0x7fa73beb47d0> best,<function eu_distance at 0x7fa73beb47d0>,0.4739372522,7,"[(10.074559010729223, 19.894526277505, 42.280414620840155, 54.62811420258229, 67.4668121476632, 0.5512572488155083, 0.49318846101771874), (10.65648299690853, 19.78541553009638, 42.13493362429533, 55.391889434442625, 67.43044189852701, 0.5505052506366568, 0.49360109672612307), (9.092562284051645, 18.2214948172395, 43.91707583196945, 54.91907619567194, 69.03073286052009, 0.5644877238604525, 0.47916163691109875), (10.583742498636116, 20.712856883069648, 43.17148572467721, 55.55555555555556, 67.72140389161666, 0.5536052479847062, 0.4909564890204353), (10.747408619749045, 19.8763411529369, 42.09856337515912, 54.93726132024004, 66.44844517184943, 0.5468971419080655, 0.4983488508042693), (9.456264775413711, 18.40334606292053, 42.462265866521186, 54.337152209492636, 67.90325513729769, 0.5535146450587334, 0.49134605558300104), (10.27459538097836, 20.349154391707582, 44.22622294962721, 56.39207128568831, 68.77614111656665, 0.5692315216026346, 0.47393725221016125), (9.238043280596472, 18.985270049099835, 41.9894526277505, 55.501000181851246, 68.95799236224768, 0.5527213708970246, 0.49202874448929174), (9.419894526277504, 18.7852336788507, 40.97108565193672, 53.50063647935988, 65.59374431714858, 0.5390143881254642, 0.5068150620893592), (9.583560647390435, 19.00345517366794, 41.00745590107292, 53.118748863429715, 66.17566830332788, 0.5409547028283379, 0.504957935438988)]"
level: measure / type: <function exponent_neg_manhattan_distance at 0x7fa73beb4578> best,<function exponent_neg_manhattan_distance at 0x7fa73beb4578>,0.4782189935,4,"[(7.983269685397345, 16.51209310783779, 40.38916166575741, 53.50063647935988, 65.28459719949082, 0.5299506996002494, 0.516838961994855), (7.892344062556829, 17.384979087106746, 41.55300963811602, 53.791598472449536, 67.3940716493908, 0.5480355877603814, 0.49807829727693603), (9.11074740861975, 18.276050190943806, 41.734860883797054, 53.97344971813057, 65.92107655937443, 0.5429515396532237, 0.5022735787148708), (8.78341516639389, 18.2396799418076, 43.626113838879796, 56.21022004000727, 70.55828332424078, 0.5662010990316144, 0.47821899345491015), (9.9472631387525, 19.858156028368793, 42.716857610474634, 56.482996908528825, 69.13984360792871, 0.5631086759998232, 0.48146651119414935), (8.074195308237861, 16.948536097472267, 40.48008728859793, 53.173304237134026, 66.77577741407529, 0.5399236165843945, 0.5064753437308727), (9.583560647390435, 17.585015457355883, 41.02564102564103, 52.35497363156938, 65.03000545553736, 0.5402875677564746, 0.5049394574401898), (9.383524277141298, 18.294235315511912, 40.95290052736861, 53.35515548281506, 65.99381705764685, 0.5400095169159754, 0.5063125410581323), (8.983451536643026, 18.16693944353519, 40.77104928168758, 52.573195126386615, 64.73904346244771, 0.5399266047959415, 0.5064695041467352), (9.601745771958537, 18.34879068921622, 38.479723586106566, 52.082196763047826, 65.1754864520822, 0.5341538995173141, 0.5123266491126872)]"
level: measure / type: <function cosine_distance at 0x7fa73beb4758> best,<function cosine_distance at 0x7fa73beb4758>,0.4795653122,9,"[(10.620112747772323, 20.49463538825241, 42.73504273504273, 54.60992907801418, 67.63047826877614, 0.5591538268729036, 0.48590504904815884), (10.54737224949991, 20.16730314602655, 43.626113838879796, 55.373704309874526, 67.83051463902528, 0.5599969606751573, 0.48533454962130484), (10.911074740861975, 20.65830150936534, 43.571558465175485, 55.71922167666848, 68.17603200581924, 0.5617486582955775, 0.48336843464211876), (11.056555737406802, 20.912893253318785, 43.95344608110565, 55.810147299509005, 67.70321876704855, 0.5627451971996679, 0.4821803390671394), (10.38370612838698, 20.694671758501546, 43.86252045826514, 55.68285142753228, 67.86688488816148, 0.562827572236384, 0.48186845751795715), (10.874704491725769, 21.022004000727406, 43.68066921258411, 55.48281505728314, 67.70321876704855, 0.5613338446582274, 0.4837271974344882), (11.202036733951628, 21.0038188761593, 43.6442989634479, 56.064739043462446, 67.52136752136752, 0.5642189944095851, 0.48015607644444125), (10.129114384433533, 20.585561011092928, 43.77159483542462, 55.2464084378978, 67.57592289507183, 0.5620866383023593, 0.48294324925696713), (10.983815239134389, 21.22204037097654, 43.880705582833244, 55.573740680123656, 67.70321876704855, 0.5646809786801862, 0.4795653122413505), (10.838334242589562, 20.676486633933443, 43.78977995999273, 55.19185306419349, 67.68503364248045, 0.5605812638403566, 0.48439823462385273)]"
level: loss / type: binary_crossentropy best,binary_crossentropy,0.4545753972,4,"[(11.54755410074559, 21.44026186579378, 45.00818330605565, 57.06492089470813, 69.24895435533733, 0.574196772324141, 0.4680049950866896), (10.838334242589562, 19.494453537006727, 44.38988907074013, 57.02855064557192, 70.97654118930714, 0.576136288488922, 0.4667088895113451), (11.420258228768867, 20.985633751591198, 46.79032551372977, 59.01072922349518, 70.95835606473905, 0.585873119377022, 0.45665612530369576), (11.147481360247317, 21.567557737770503, 45.55373704309874, 58.41062011274777, 71.39479905437352, 0.5879063580421844, 0.45457539724885265), (9.365339152573195, 18.639752682305875, 43.80796508456083, 56.973995271867615, 69.55810147299509, 0.5673324944259027, 0.47624621867405315), (10.129114384433533, 18.276050190943806, 41.807601382069464, 55.19185306419349, 67.70321876704855, 0.554769739633057, 0.48938647642926436), (9.038006910347336, 18.530641934897254, 42.09856337515912, 56.10110929259866, 68.77614111656665, 0.5540481415485863, 0.490912808421122), (10.11092925986543, 18.83978905255501, 43.498817966903076, 56.79214402618658, 69.84906346608474, 0.5663605023221787, 0.4770313851169608), (9.328968903436989, 18.876159301691217, 42.82596835788325, 56.46481178396072, 69.43080560101836, 0.5583951546856236, 0.4858422970766417), (10.183669758137842, 20.22185851973086, 43.78977995999273, 58.028732496817604, 70.43098745226405, 0.5688359740902892, 0.4746305168168084)]"
level: loss / type: mean_squared_error best,mean_squared_error,0.4682161955,1,"[(11.256592107655937, 21.112929623567922, 45.49918166939444, 58.41062011274777, 70.37643207855974, 0.5757438628394683, 0.4682161955132577), (11.147481360247317, 20.694671758501546, 44.22622294962721, 57.21040189125296, 68.86706673940716, 0.5625618141602027, 0.482252828152839), (11.183851609383524, 21.0038188761593, 44.80814693580651, 57.592289507183125, 69.53991634842698, 0.5653970761189007, 0.4794822654418577), (10.474631751227497, 20.65830150936534, 43.935260956537554, 56.17384979087107, 67.63047826877614, 0.5569155263839733, 0.4882890267116712), (9.89270776504819, 19.094380796508457, 41.66212038552464, 53.84615384615385, 66.46663029641753, 0.5362653327761172, 0.5113778966160196), (9.874522640480087, 19.858156028368793, 44.117112202218586, 56.555737406801235, 68.86706673940716, 0.5597716371224992, 0.486207010322815), (10.420076377523186, 19.367157665030007, 43.571558465175485, 55.2282233133297, 67.12129478086925, 0.5500072798387207, 0.4960585514194905), (10.711038370612838, 20.185488270594654, 43.553373340607386, 55.19185306419349, 66.57574104382616, 0.5558523274996132, 0.489485103420088), (10.711038370612838, 20.33096926713948, 43.40789234406256, 55.282778687034, 66.59392616839425, 0.5498543689818364, 0.4956048045502547), (10.456446626659393, 19.767230405528277, 43.17148572467721, 54.900891071103835, 66.04837243135115, 0.5409197954583687, 0.5059608386373895)]"
level: loss / type: <function contrastive_loss at 0x7fa73beb4500> best,<function contrastive_loss at 0x7fa73beb4500>,0.5148877815,8,"[(8.183306055646481, 17.439534460811057, 38.00691034733588, 48.463356973995275, 62.64775413711584, 0.5225731838433562, 0.5211046831632472), (8.001454809965448, 17.421349336242955, 38.20694671758501, 50.10001818512457, 63.720676486633934, 0.5280670883665716, 0.5162022988586863), (8.78341516639389, 17.384979087106746, 38.77068557919622, 50.04546281142026, 64.26623022367703, 0.5271913541082204, 0.5180118880659874), (8.383342425895618, 16.766684851791236, 36.824877250409166, 48.6270230951082, 61.66575741043826, 0.5148698307645204, 0.5311994692319781), (7.474086197490453, 15.875613747954173, 37.261320240043645, 49.881796690307326, 63.32060374613566, 0.5155349488903826, 0.5306419448570912), (7.092198581560283, 16.166575741043825, 38.27968721585743, 50.44553555191853, 65.06637570467358, 0.527164658018954, 0.5184033289028335), (7.601382069467176, 16.34842698672486, 37.22494999090744, 49.11802145844699, 62.120385524640845, 0.5198602767642068, 0.5260539883371733), (8.165120931078379, 16.5666484815421, 38.80705582833242, 51.100200036370246, 64.611747590471, 0.5308164728965611, 0.5148877814894114), (8.765230041825786, 17.621385706492088, 37.53409710856519, 49.49990907437716, 62.84779050736498, 0.5211306113533594, 0.5238687488780744), (8.092380432805964, 16.330241862156758, 38.18876159301691, 50.64557192216767, 63.175122749590834, 0.5289316612546386, 0.5156339241936355)]"
level: cnn / type: 0 best,0,0.4568505863,1,"[(10.874704491725769, 21.694853609747227, 46.53573376977632, 58.628841607565015, 70.63102382251319, 0.5853457299825342, 0.4568505862871237), (11.038370612838698, 20.858337879614474, 43.662484088016, 55.19185306419349, 66.68485179123476, 0.564708888060175, 0.4774586259978826), (11.092925986543008, 20.640116384797235, 43.71703946172031, 56.64666302964175, 67.81232951445718, 0.5713071582525271, 0.471232508732169), (10.05637388616112, 19.22167666848518, 42.5531914893617, 55.7919621749409, 68.90343698854338, 0.56470478899571, 0.47891733552557253), (9.00163666121113, 19.276232042189488, 43.60792871431169, 57.01036552100382, 69.26713947990544, 0.5660571698755485, 0.47820750279530805), (9.729041643935261, 19.3307874158938, 42.97144935442808, 55.59192580469176, 67.86688488816148, 0.5556401444940788, 0.48977375224777087), (9.256228405164576, 17.766866703036914, 41.02564102564103, 53.37334060738316, 64.33897072194945, 0.5343949966300556, 0.5118819194015347), (9.165302782324058, 18.767048554282596, 43.40789234406256, 55.06455719221677, 66.61211129296235, 0.5506321569659661, 0.4948050856868673), (9.78359701763957, 18.67612293144208, 43.389707219494454, 55.71922167666848, 67.23040552827787, 0.5587130608073654, 0.48568822427304703), (9.328968903436989, 18.276050190943806, 41.352973267866886, 53.46426623022368, 65.79378068739771, 0.5458915717294862, 0.499486418225956)]"
level: sample_weight / type: True best,True,0.4434385672,1,"[(10.947444989998182, 23.295144571740316, 48.00872885979269, 60.465539188943445, 72.01309328968904, 0.5976284561166954, 0.4434385672245185), (11.274777232224041, 21.27659574468085, 46.9721767594108, 60.101836697581376, 72.77686852154937, 0.5968188708697648, 0.4441996200649744), (10.692853246044736, 20.421894889979995, 44.53537006728496, 57.592289507183125, 69.86724859065285, 0.5776434568373495, 0.46463902826932124), (9.747226768503364, 19.8763411529369, 44.09892707765048, 57.08310601927623, 71.12202218585197, 0.5742964846820594, 0.4688371192741371), (9.165302782324058, 18.639752682305875, 44.13529732678669, 57.155846517548646, 70.35824695399164, 0.5678636817868588, 0.47552663163476394), (9.747226768503364, 19.22167666848518, 42.716857610474634, 55.2464084378978, 66.903073286052, 0.5543673530294398, 0.48982221179067714), (9.274413529732678, 18.585197308601565, 44.662665939261686, 56.84669939989089, 69.77632296781233, 0.5671290337827692, 0.476032030143), (9.00163666121113, 17.766866703036914, 41.171122022185855, 53.95526459356247, 65.90289143480634, 0.5394586324831767, 0.5067102023937186), (9.492635024549918, 18.40334606292053, 41.62575013638843, 55.210038188761594, 66.77577741407529, 0.5500944498397216, 0.4960449251468998), (9.183487906892163, 19.148936170212767, 40.78923440625568, 54.64629932715039, 66.3393344244408, 0.5440917622452913, 0.5022916706100568)]"
level: sample_weight / type: False best,False,0.4493416981,2,"[(10.474631751227497, 20.076377523186032, 43.84433533369704, 55.373704309874526, 66.8303327877796, 0.5536872076028229, 0.49007217011048115), (11.92944171667576, 23.240589198036005, 46.19021640298236, 58.37424986361157, 71.72213129659939, 0.5916759699939254, 0.4493416980969937), (12.147663211492999, 23.186033824331698, 46.49936352064012, 58.937988725222766, 71.90398254228042, 0.5907497790130635, 0.45039299792718107), (11.693035097290416, 22.14948172394981, 45.57192216766685, 58.11965811965812, 71.52209492635025, 0.5868538607661071, 0.4544699937455575), (10.347335879250773, 20.76741225677396, 44.44444444444444, 57.73777050372795, 69.24895435533733, 0.5717302321937429, 0.47154633953811675), (11.911256592107655, 21.803964357155845, 46.335697399527184, 58.44699036188398, 69.90361883978905, 0.5817913271891644, 0.46075354921936373), (10.492816875795599, 22.16766684851791, 45.02636843062375, 58.5561011092926, 69.72176759410802, 0.5775610242066488, 0.465711625239987), (10.292780505546464, 19.11256592107656, 44.680851063829785, 57.701400254591746, 68.57610474631751, 0.5637243693900201, 0.48034754805054836), (11.038370612838698, 22.38588834333515, 44.93544280778323, 56.864884524458994, 69.55810147299509, 0.5718908300366706, 0.4717258498984002), (11.311147481360248, 21.294780869248953, 43.29878159665394, 57.33769776322968, 69.44899072558647, 0.5642640727134759, 0.48073774480824844)]"
