,top1,top2,top5,top7,top10,acc,r_loss
0/epoch:1/set:val/distance:<function pearson_sim at 0x7f701f1dded8>,7.625372108999313,13.624914128692467,29.722921914357684,41.493015800320585,59.606136936111746,0.5414438798951101,0.4867527372568198
0/epoch:2/set:val/distance:<function pearson_sim at 0x7f701f1dded8>,7.236088848179528,13.533318067323105,32.47080375543852,43.71422028852759,59.49164185940005,0.570811624659837,0.4556847772385189
0/epoch:3/set:val/distance:<function pearson_sim at 0x7f701f1dded8>,5.106480421341883,11.724295855278223,30.95946874284406,42.866956720861005,54.270666361346464,0.5467209889371176,0.4810937226121251
0/epoch:4/set:val/distance:<function pearson_sim at 0x7f701f1dded8>,5.885046942981452,12.29677123883673,32.562399816807876,43.966109457293335,59.949622166246854,0.5673256433111142,0.4595533745414535
0/epoch:5/set:val/distance:<function pearson_sim at 0x7f701f1dded8>,4.7171971605220975,11.56400274788184,31.692237233798945,42.9814517975727,65.39958781772384,0.5761920937693064,0.45030324190876486
0/epoch:6/set:val/distance:<function pearson_sim at 0x7f701f1dded8>,5.907945958323792,14.288985573620334,39.15731623540188,50.51522784520266,62.3082207465079,0.5948841572344128,0.43036527693495447
0/epoch:7/set:val/distance:<function pearson_sim at 0x7f701f1dded8>,6.1140370964048545,17.769635905656056,38.974124112663155,49.37027707808564,61.57545225555301,0.5889205820556828,0.4366175224003841
0/epoch:8/set:val/distance:<function pearson_sim at 0x7f701f1dded8>,7.30478589420655,15.342340279367987,34.98969544309595,44.26379665674376,56.62926494160751,0.5492562222382914,0.47848824010857793
0/epoch:9/set:val/distance:<function pearson_sim at 0x7f701f1dded8>,9.136707121593771,17.700938859629037,40.59995420196932,50.354934737806275,63.10968628348981,0.5943264234071955,0.43098137072169934
0/epoch:1/set:test/distance:<function pearson_sim at 0x7f701f1dded8>,5.197777051323962,9.610983981693364,25.53121935272965,34.29225237005557,46.76364825106244,0.5112314587243144,0.5144612892776722
0/epoch:2/set:test/distance:<function pearson_sim at 0x7f701f1dded8>,4.151683556717882,8.842759071592024,27.590715920235372,36.82576005230467,50.03269042170644,0.5311049770615528,0.49393949803601656
0/epoch:3/set:test/distance:<function pearson_sim at 0x7f701f1dded8>,3.7593984962406015,10.591696632886563,31.10493625367767,42.808107224583196,53.890160183066364,0.5597351489025691,0.46427023899210385
0/epoch:4/set:test/distance:<function pearson_sim at 0x7f701f1dded8>,3.9391958156260216,9.267734553775744,30.64727034978751,41.87643020594966,54.7401111474338,0.5601334434879568,0.46335086799477343
0/epoch:5/set:test/distance:<function pearson_sim at 0x7f701f1dded8>,5.491990846681922,12.830990519777705,29.55214122262177,41.28800261523374,53.579601176855185,0.557331624777212,0.46737384239329677
0/epoch:6/set:test/distance:<function pearson_sim at 0x7f701f1dded8>,4.151683556717882,10.706113108859105,26.25040863027133,37.56129454069958,50.42497548218372,0.5462034121727494,0.47817623659526376
0/epoch:7/set:test/distance:<function pearson_sim at 0x7f701f1dded8>,4.707420725727362,10.951291271657404,29.33965348152991,40.078457012095456,51.02974828375286,0.5464025811016389,0.47771852715754887
